,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
757,Don’t,"The Hyena on the Keyboard, Pt. 4",https://open.spotify.com/album/50dXh98sRsMOrf9D5QMb77,Loco,63,2018-04-21,https://open.spotify.com/track/4MidkNeonif4PcWSjkwOb7,231654,False
758,Violeta,HEART*IZ,https://open.spotify.com/album/548UwoyV9v9fTaoEfzoCBb,IZ*ONE,63,2019-04-01,https://open.spotify.com/track/0Qzs7eyyx6Il1qkA4wqUHm,200912,False
759,닐리리맘보,BLOCKBUSTER,https://open.spotify.com/album/5humkj69QwOd1wBwmmMZq6,Block B,63,2012-10-17,https://open.spotify.com/track/4fZYGHiRcKxwVSnF498uaE,207080,False
760,Celebrity,Celebrity,https://open.spotify.com/album/3mtDgtcl4bxDN73kIM216g,IU,63,2021-01-27,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4,195546,False
761,Foreshadow,MANIFESTO : DAY 1,https://open.spotify.com/album/5J8MNLLViH5zqM6VoGErz8,ENHYPEN,64,2022-07-04,https://open.spotify.com/track/2RmGQmFyJetffds9FSRm3c,147485,False
762,海闊天空,華納廿三週年紀念精選系列 - Beyond,https://open.spotify.com/album/4lsNuMoDCb89Rso6pGuX0E,Beyond,65,1992-07-31,https://open.spotify.com/track/77uktQePd9IdeMPVWlu1cO,239506,False
763,BAAM,Fun to The World,https://open.spotify.com/album/75dkh8s39e7txjNe9cODH3,MOMOLAND,63,2018-06-26,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW,208474,False
764,Galaxy 우주를 줄게,Full Album RED PLANET,https://open.spotify.com/album/5bA5ItGeDXS2XIt9axBSwL,BOL4,63,2016-08-29,https://open.spotify.com/track/15c7KZTrsCUxCQcOdUVELc,213853,False
765,Doaku Untukmu Sayang,Aku Bukan Bang Toyib,https://open.spotify.com/album/4SU72f8lCnTr1GM9GPkFPY,Wali,64,2011-06-27,https://open.spotify.com/track/29GszwSbH9jtj74nwNWf4Z,226484,False
766,KANATA HALUKA,Suzume (Motion Picture Soundtrack),https://open.spotify.com/album/6Ar5HxNWXtvraqs7FI7bYq,RADWIMPS,65,2022-11-10,https://open.spotify.com/track/4O6htogl2A9ycNLwc9dVK1,355706,False
767,Blue Side,Blue Side,https://open.spotify.com/album/1PwHmb34vUnPLJp3vSLKed,j-hope,63,2021-03-02,https://open.spotify.com/track/1nwdfbj4UyRMpa9L98a4Yi,198600,False
768,Flicker,BORDER : DAY ONE,https://open.spotify.com/album/3YxF7jTnpdNepWbO42f8lH,ENHYPEN,64,2020-11-30,https://open.spotify.com/track/3TgPwLFXV6GEIsDZANHktY,144370,False
769,같은 시간 같은 자리 Walk you home,We Young - The 1st Mini Album,https://open.spotify.com/album/2cEYyauffphZuDONGi6z9b,NCT DREAM,63,2017-08-17,https://open.spotify.com/track/48U7tDoHquyAGPW119Xpvi,175240,False
770,I AM SHAMPOO,I AM SHAMPOO,https://open.spotify.com/album/2MH5K8RTLoLzkpgtIYWFUe,BIBI,63,2023-04-07,https://open.spotify.com/track/164rrRJLHNzPKIR82BCDQU,141259,False
771,GingaMingaYo (the strange world),the collective soul and unconscious: chapter one,https://open.spotify.com/album/4ophrgcnwWi1I5nWYImyhw,Billlie,63,2022-02-23,https://open.spotify.com/track/3jHg6QE70y2FTdnsxSrCbv,215800,False
