,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
104,那陣時不知道,那陣時不知道,https://open.spotify.com/album/11Y7PDKRFwCoEyp0LocHy9,my little airport,46,2021-02-02,https://open.spotify.com/track/1IpZbWmIcs6kAAioo6X3G7,148564,False
105,模特,模特,https://open.spotify.com/album/3rVYM5T3TaLeIOyAsKeEPP,Ronghao Li,55,2013-09-16,https://open.spotify.com/track/3WiPLRpAhceu2Ssjd3WtTx,307346,False
106,不如,不如,https://open.spotify.com/album/1Z9S6bopq2CIYfDqveFR8i,秦海清,60,2021-05-26,https://open.spotify.com/track/56J1VxZNYnuOCkGHBs1XAx,179973,False
107,有何不可,自定義,https://open.spotify.com/album/0OfgDIAou9mTshlocs9hXD,許嵩,57,2008-12-30,https://open.spotify.com/track/5rXBmcYNJYMYdhwxlMLh0s,240027,False
108,對等關係 (feat. 張惠妹),縱橫四海,https://open.spotify.com/album/2FbkaXZl2bM5YU7sZYkL6Q,Ronghao Li,54,2022-12-21,https://open.spotify.com/track/0mGNDAW085Jkn8IbEalZG3,327228,False
109,Endless Sailing（電視劇《三體》主題曲）,Endless Sailing（電視劇《三體》主題曲）,https://open.spotify.com/album/4hF7yhGeHEOPMLkcO1DME1,Zhou Shen,26,2023-07-18,https://open.spotify.com/track/3WLJkLp1COruXUGW2spTpk,308141,False
110,Endless Sailing - 英文版伴奏,Endless Sailing（電視劇《三體》主題曲）,https://open.spotify.com/album/4hF7yhGeHEOPMLkcO1DME1,Zhou Shen,18,2023-07-18,https://open.spotify.com/track/1waQaQriBkz0Ow5v7JX1Br,308141,False
111,土瓜灣情歌,適婚的年齡,https://open.spotify.com/album/0YTUFA16bs1qLVYtp3fGL0,my little airport,44,2014-01-01,https://open.spotify.com/track/1hnWusq6OGMuRsKvcmFLl8,143360,False
112,嘉宾,嘉宾,https://open.spotify.com/album/5d5Km5qRB9vUagEdHEf7xI,路飞文,56,2021-05-22,https://open.spotify.com/track/0os4okaOVdC4qhwcwGBcZ7,270602,False
113,奔赴星空,奔赴星空,https://open.spotify.com/album/2ZJEf4VflWpNLgEWNDdaQD,尹昔眠,57,2021-04-06,https://open.spotify.com/track/0qLLptBEz3uo7TRFKLv20h,203690,False
114,可不可以 - 抖音热歌,可不可以 (抖音热歌),https://open.spotify.com/album/3PHBfBjHfBayD6bSmjZ11w,张紫豪,60,2018-05-03,https://open.spotify.com/track/2WBVjfhKzYXc6fhdpT0TtC,240889,False
115,平凡之路,獵戶星座,https://open.spotify.com/album/7D2XQNI2pQylrjDB1jsB8J,Pu Shu,55,2017-05-09,https://open.spotify.com/track/3YFGh5Kga1K40yUhuCVffM,302119,False
116,11 (with Hooleeger),11 (with Hooleeger),https://open.spotify.com/album/5czo3uMJbR5JWwf9cBm6I9,队长,62,2022-01-01,https://open.spotify.com/track/5eDJH4MfpRQM9S9WTiu7yU,234817,False
117,我太笨,我太笨,https://open.spotify.com/album/0rURHIDLJIgNHtxgLSai94,锤娜丽莎,58,2021-09-10,https://open.spotify.com/track/5VmKEe5ZAa4KwejAQHmsyx,264596,False
118,嘉宾 - 粤语版,嘉宾 (粤语版),https://open.spotify.com/album/4DtatP4VadHyJyWIKXiQE9,张远,47,2022-07-24,https://open.spotify.com/track/769uz36DP5d5iUKg3k64jO,333628,False
119,飛機場的10:30,陶喆同名專輯,https://open.spotify.com/album/433Xh8UtsKASBYCt0QNk4Q,David Tao,55,1997-12-06,https://open.spotify.com/track/0v2hRgvRSMnHsTSWyaoKbH,280773,False
120,流沙 (Reimagined),流沙 (Reimagined),https://open.spotify.com/album/2qBynilrtiV9e0Zh2drTow,David Tao,57,2023-07-03,https://open.spotify.com/track/0KFftmgOExvXxMH0zZK4jH,291270,False
121,喜劇之王,李榮浩,https://open.spotify.com/album/5XncEsfd9JFXcl6PAR9wcl,Ronghao Li,53,2014-11-28,https://open.spotify.com/track/6Lh3qHU2vry05vUEjLKvIb,261284,False
122,QUEEN,SABINA之淚,https://open.spotify.com/album/5Pw6K47tHMJzjlyMqqF0yf,my little airport,44,2021-08-30,https://open.spotify.com/track/5PimlePLQd8xdf7uKccHqS,163775,False
